rgi_id,lake_terminating_level,image_id,image_date,inventory_doi,contributor,comments,,,,,,,
RGI2000-v7.0-G-14-00051,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00052,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00053,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00054,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00055,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00056,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00057,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00059,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00060,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00061,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00062,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00063,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00064,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00065,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00066,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00067,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00068,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00069,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00070,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00071,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00072,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00073,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00074,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00075,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00076,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00077,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00078,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00079,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00080,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00081,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00083,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00084,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00085,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00086,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00087,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00088,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00089,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00090,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00091,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00092,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00093,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00094,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00095,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00096,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00097,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00098,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00099,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00100,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00101,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00102,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00103,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00104,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00105,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00106,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00107,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00108,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00109,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00110,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00111,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00112,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00113,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00114,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00115,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00116,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00117,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00118,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00121,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00122,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00123,0,LE07_L2SP_153035_20001025_20200917_02_T1_SR_B2,25/10/2000,,Steiner,NA,,,,,,,
