rgi_id,auto_term,lake_level,image_id,image_date,contributor,inventory_doi,notes
RGI2000-v7.0-G-01-04877,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04878,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04879,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04880,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04881,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04882,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04883,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04884,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04885,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04886,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04887,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04888,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04889,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04890,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04891,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04892,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04893,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04894,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04895,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
RGI2000-v7.0-G-01-04896,9,0,cloud-free composite,1999-2001,"Armstrong, Rick",https://doi.org/10.18739/A2MK6591G,marked based on lake flagging script
