rgi_id,lake_level,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-04-02838,1.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02784,2.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02860,2.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02804,3.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04863,2.0,LE07_L1TP_024010_20020820_20200916_02_T1,2002-08-20,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04911,1.0,LE07_L1TP_026010_20000812_20200917_02_T1,2000-08-12,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-04895,2.0,LE07_L1TP_026010_20000812_20200917_02_T1,2000-08-12,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03263,1.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-03264,1.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00666,3.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00667,3.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00668,3.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02867,1.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02507,2.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02503,3.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02545,3.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02298,1.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02296,1.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02453,1.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-02458,1.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00659,1.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00658,2.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00645,1.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-01540,3.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00646,3.0,LE07_L1TP_027010_20000819_20200917_02_T1,2000-08-19,,Will Kochtitzky and Kaleigh Potter,
