rgi_id,auto_term,lake_level,image_id,image_date,contributor,inventory_doi,notes
RGI2000-v7.0-G-02-00686,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00687,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00700,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00714,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00715,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00716,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00717,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00718,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00726,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00773,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00804,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00805,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00806,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00807,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00814,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00817,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00818,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00819,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00821,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00825,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00827,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00828,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00829,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00854,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00855,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00890,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00907,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00908,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00909,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00921,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00922,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
