file,buffer,inventory,manual,region,nglac,agree,fpos,fneg
02_western_canada_usa_global_shugar2020_automated.csv,500,shugar2020,352.0,02,630.0,0.3465909090909091,1.4431818181818181,0.6534090909090909
02_western_canada_usa_global_song2025_automated.csv,500,song2025,352.0,02,1958.0,0.9261363636363636,4.636363636363637,0.07386363636363637
02_western_canada_usa_global_zhang2024_automated.csv,500,zhang2024,352.0,02,2365.0,0.65625,6.0625,0.34375
03_arctic_canada_north_global_shugar2020_automated.csv,500,shugar2020,172.0,03,29.0,0.06976744186046512,0.09883720930232558,0.9302325581395349
03_arctic_canada_north_global_song2025_automated.csv,500,song2025,171.0,03,108.0,0.23976608187134502,0.391812865497076,0.7602339181286549
03_arctic_canada_north_global_zhang2024_automated.csv,500,zhang2024,174.0,03,258.0,0.4827586206896552,1.0,0.5172413793103449
04_arctic_canada_south_global_shugar2020_automated.csv,500,shugar2020,184.0,04,580.0,0.5,2.652173913043478,0.5
04_arctic_canada_south_global_song2025_automated.csv,500,song2025,184.0,04,1180.0,0.7391304347826086,5.673913043478261,0.2608695652173913
04_arctic_canada_south_global_zhang2024_automated.csv,500,zhang2024,184.0,04,994.0,0.6847826086956522,4.717391304347826,0.31521739130434784
05_greenland_periphery_global_shugar2020_automated.csv,500,shugar2020,286.0,05,770.0,0.42657342657342656,2.265734265734266,0.5734265734265734
05_greenland_periphery_global_song2025_automated.csv,500,song2025,286.0,05,1161.0,0.5979020979020979,3.4615384615384617,0.4020979020979021
05_greenland_periphery_global_zhang2024_automated.csv,500,zhang2024,288.0,05,1419.0,0.59375,4.333333333333333,0.40625
06_iceland_global_shugar2020_automated.csv,500,shugar2020,14.0,06,17.0,0.35714285714285715,0.8571428571428571,0.6428571428571429
06_iceland_global_song2025_automated.csv,500,song2025,14.0,06,45.0,0.9285714285714286,2.2857142857142856,0.07142857142857142
06_iceland_global_zhang2024_automated.csv,500,zhang2024,14.0,06,22.0,0.6428571428571429,0.9285714285714286,0.35714285714285715
07_svalbard_jan_mayen_global_shugar2020_automated.csv,500,shugar2020,60.0,07,0.0,0.0,0.0,1.0
07_svalbard_jan_mayen_global_song2025_automated.csv,500,song2025,60.0,07,0.0,0.0,0.0,1.0
07_svalbard_jan_mayen_global_zhang2024_automated.csv,500,zhang2024,60.0,07,97.0,0.5,1.1166666666666667,0.5
08_scandinavia_global_shugar2020_automated.csv,500,shugar2020,227.0,08,485.0,0.3700440528634361,1.7665198237885462,0.6299559471365639
08_scandinavia_global_song2025_automated.csv,500,song2025,227.0,08,584.0,0.8766519823788547,1.696035242290749,0.12334801762114538
08_scandinavia_global_zhang2024_automated.csv,500,zhang2024,227.0,08,524.0,0.5726872246696035,1.7356828193832599,0.42731277533039647
09_russian_arctic_global_shugar2020_automated.csv,500,shugar2020,32.0,09,80.0,0.65625,1.84375,0.34375
09_russian_arctic_global_song2025_automated.csv,500,song2025,32.0,09,52.0,0.71875,0.90625,0.28125
09_russian_arctic_global_zhang2024_automated.csv,500,zhang2024,32.0,09,72.0,0.65625,1.59375,0.34375
10_north_asia_global_shugar2020_automated.csv,500,shugar2020,69.0,10,60.0,0.14492753623188406,0.7246376811594203,0.855072463768116
10_north_asia_global_song2025_automated.csv,500,song2025,69.0,10,310.0,0.855072463768116,3.63768115942029,0.14492753623188406
10_north_asia_global_zhang2024_automated.csv,500,zhang2024,69.0,10,290.0,0.6521739130434783,3.550724637681159,0.34782608695652173
11_central_europe_global_shugar2020_automated.csv,500,shugar2020,66.0,11,37.0,0.15151515151515152,0.4090909090909091,0.8484848484848485
11_central_europe_global_song2025_automated.csv,500,song2025,66.0,11,147.0,0.6666666666666666,1.5606060606060606,0.3333333333333333
11_central_europe_global_zhang2024_automated.csv,500,zhang2024,66.0,11,91.0,0.21212121212121213,1.1666666666666667,0.7878787878787878
12_caucasus_middle_east_global_shugar2020_automated.csv,500,shugar2020,11.0,12,11.0,0.36363636363636365,0.6363636363636364,0.6363636363636364
12_caucasus_middle_east_global_song2025_automated.csv,500,song2025,11.0,12,71.0,0.45454545454545453,6.0,0.5454545454545454
