rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,notes,contributor
RGI2000-v7.0-G-05-00667,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00668,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00669,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00670,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00671,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00672,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00673,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00674,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00675,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00676,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00677,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00678,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00679,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00680,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00681,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00682,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00683,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00684,9,3,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,small terminus contact,McNabb
RGI2000-v7.0-G-05-00685,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00686,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00687,9,1,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,lake ice?,McNabb
RGI2000-v7.0-G-05-00688,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00689,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00690,9,0,LE07_L1TP_019007_20000827_20200918_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00691,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00692,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00693,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00694,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00695,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00696,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00697,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00698,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
RGI2000-v7.0-G-05-00699,9,2,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,small lake,McNabb
RGI2000-v7.0-G-05-00700,9,0,LE07_L1TP_019008_20000827_20200917_02_T1,2000-08-27,https://dx.doi.org/10.5285/7ea7540135f441369716ef8,,McNabb
