rgi_id,term_type,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-08-03197,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03198,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03199,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03200,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03201,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03202,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03203,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03204,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03205,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03206,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03207,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03208,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03209,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03210,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03211,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03212,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03213,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03214,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03215,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-03216,9,0,LE07_L1TP_199017_20000925_20200917_02_T1,2000-09-25,https://hdl.handle.net/11250/2828423,McNabb,
