rgi_id,src_date,area_km2,auto_term,lake_level,image_id,image_date,inventory_doi,contributor,contributor,contributor,contributor
RGI2000-v7.0-G-03-03245,1999-07-08T00:00:00,0.247057248836988,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03246,1999-07-08T00:00:00,239.84320249554224,1,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03247,1999-07-08T00:00:00,51.50507674479502,9,3,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03248,1999-07-08T00:00:00,5.404371757517968,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03249,1999-07-08T00:00:00,0.207412125565356,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03250,1999-07-08T00:00:00,3.334682910543395,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03251,1999-07-08T00:00:00,1.919500915788759,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03252,1999-07-08T00:00:00,0.185661345163425,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03253,1999-07-08T00:00:00,0.567242156850977,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03254,1999-07-08T00:00:00,0.57544962831444,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03255,1999-07-08T00:00:00,0.733463860863895,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03256,1999-07-08T00:00:00,13.71142475822813,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03257,1999-07-08T00:00:00,0.473397746458775,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03258,1999-07-08T00:00:00,3.075020232844432,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03259,1999-07-08T00:00:00,0.13415424413003,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03260,1999-07-08T00:00:00,0.433446499695055,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03261,1999-07-08T00:00:00,0.620788402675581,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03262,1999-07-08T00:00:00,0.080434522470516,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03263,1999-07-08T00:00:00,0.151676817781384,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03264,1999-07-08T00:00:00,8.571682500311368,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03265,1999-07-08T00:00:00,1.268317970278619,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03266,1999-07-08T00:00:00,44.447114526185345,9,3,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03267,1999-07-08T00:00:00,419.66348254059506,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03268,1999-07-08T00:00:00,4.308298051344829,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03269,1999-07-08T00:00:00,3.03047655812141,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03270,1999-07-08T00:00:00,0.182471189324622,9,0,LE07_L1TP_047002_20000628_20200918_02_T1,2000-06-28,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
