rgi_id,lake_cat,image_id,image_date,inventory_doi,contributor,comments,notes
RGI2000-v7.0-G-05-04750,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04751,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04752,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04753,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04754,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04755,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04756,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04757,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04758,2,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04759,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04760,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04761,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04762,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04763,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04764,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04765,2,LE07_L2SP_004016_20010922_20200917_02_T1_SR_B2,2001-09-22,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04766,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04767,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04768,3,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04769,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04770,0,LE07_L2SP_006015_20010803_20200917_02_T1_SR_B2,2001-08-03,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
