rgi_id,auto_term,image_id,lake_level,image_date,contributor,src_date,area_km2,inventory_doi,contributor.1,contributor.2,contributor.3
RGI2000-v7.0-G-03-00036,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,1.540646753183341,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00037,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.902371109053471,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00038,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.241693555524837,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00039,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,1.728946991797435,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00040,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,18.106987030131933,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00041,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.681794573662932,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00042,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.033411726229783,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00043,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.058841269194812,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00044,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.022936966727897,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00045,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.188793647040092,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00046,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.077957167702135,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00047,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.21568027579527,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00048,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.848575988406229,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00049,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.672814788492259,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00050,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.133617026843425,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00051,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.387863204154359,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00052,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.445170707465967,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00053,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,5.959464836012476,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00054,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,8.442486347966042,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00055,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,2.063487129718387,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00056,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,1.077279843931061,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00057,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,4.879433141148602,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00058,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,1.211149174159423,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00059,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.538422183625412,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00060,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,13.338123998035542,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00061,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,7.726333837385422,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00062,9,LE07_L1TP_055247_20000620_20200918_02_T1,1,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,24.88899222296224,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00063,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,1.672589438873735,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00064,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,1.710740647845312,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00065,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,0.889748850048976,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00066,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,8.489365911568052,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00067,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,2.472310560345883,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00068,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,3.058987355553411,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00069,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,6.806943304351686,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00070,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,4.877790243120354,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-00071,9,LE07_L1TP_055247_20000620_20200918_02_T1,0,2000-06-20,Whyjay Zheng and Will Kochtitzky,1999-07-24T00:00:00,2.705595525812763,,zheng,Whyjay Zheng and Will Kochtitzky,zheng
